method,accuracy,recall,precision,f1
S2V_NEG_hop0_epoch400_batch50.txt,0.4,0.4,0.4,0.39
S2V_NEG_hop1_epoch400_batch50.txt,0.39,0.4,0.4,0.39
S2V_NEG_hop4_epoch400_batch50.txt,0.36,0.36,0.36,0.35
S2V_NEG_hop2_epoch400_batch50.txt,0.34,0.35,0.35,0.34
S2V_NEG_hop3_epoch400_batch50.txt,0.34,0.34,0.34,0.33
dw_margin_100_airport_dim_20_rneg,0.338,0.35,0.36,0.332
dw_margin_50_airport_dim_20_rneg,0.334,0.348,0.36,0.334
dw_margin_30_airport_dim_20_rneg,0.324,0.334,0.342,0.318
dw_margin_5_airport_dim_20_rneg,0.322,0.334,0.348,0.318
dw_margin_10_airport_dim_20_rneg,0.32,0.332,0.336,0.314
dw_margin_1_airport_dim_20_rneg,0.316,0.326,0.334,0.314
Node2vec_p1q0.5_batch50_epoch100.txt,0.31,0.32,0.32,0.31
dw_airport_dim_20,0.302,0.312,0.326,0.296
Node2vec_p1q1_batch50_epoch100.txt,0.3,0.31,0.31,0.3
Node2vec_p0.5q1_batch50_epoch100.txt,0.29,0.3,0.3,0.29
LINE_epoch400_batch50_norm.txt,0.29,0.3,0.3,0.29
S2V_NEG_hop1_epoch400_batch50norm.txt,0.28,0.28,0.28,0.27
S2V_hop4_coef100_epoch400_batch50_norm.txt,0.26,0.26,0.26,0.25
S2V_hop4_coef400_epoch400_batch50_norm.txt,0.25,0.26,0.26,0.25
S2V_hop3_coef100_epoch400_batch50_norm.txt,0.25,0.26,0.26,0.25
S2V_hop2_coef400_epoch400_batch50_norm.txt,0.25,0.25,0.26,0.25
S2V_hop3_coef400_epoch400_batch50_norm.txt,0.25,0.25,0.26,0.25
S2V_hop1_coef400_epoch400_batch50.txt,0.25,0.25,0.25,0.24
S2V_hop2_coef100_epoch400_batch50_norm.txt,0.25,0.25,0.25,0.24
S2V_hop2_coef1_epoch400_batch50_norm.txt,0.25,0.25,0.25,0.24
S2V_hop4_coef1_epoch400_batch50_norm.txt,0.25,0.25,0.25,0.24
S2V_hop1_coef100_epoch400_batch50_norm.txt,0.24,0.25,0.25,0.24
S2V_hop3_coef1_epoch400_batch50_norm.txt,0.24,0.25,0.25,0.24
S2V_hop2_coef400_epoch400_batch50.txt,0.24,0.24,0.25,0.24
S2V_hop3_coef400_epoch400_batch50.txt,0.24,0.24,0.25,0.24
S2V_hop1_coef1_epoch400_batch50_norm.txt,0.24,0.24,0.25,0.24
S2V_hop1_coef1_epoch400_batch50.txt,0.24,0.24,0.24,0.23
S2V_hop2_coef1_epoch400_batch50.txt,0.24,0.24,0.24,0.23
S2V_hop3_coef1_epoch400_batch50.txt,0.24,0.24,0.24,0.23